epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7314,2.06167,4.63119,1.38076,0.39247,0.44047,0.40025,0.19823,1.751,1.75075,1.12255,0.0033156,0.0033156,0.0033156
2,43.2335,1.90351,2.0449,1.2521,0.45868,0.51807,0.44476,0.20167,1.91601,1.54777,1.19277,0.00662261,0.00662261,0.00662261
3,63.0821,2.02128,2.00614,1.3055,0.40761,0.54055,0.42102,0.18557,1.85392,1.78029,1.21597,0.00990321,0.00990321,0.00990321
4,82.2825,2.09108,2.02936,1.32783,0.425,0.45804,0.4317,0.19031,1.92474,1.63909,1.21573,0.0098812,0.0098812,0.0098812
5,101.352,2.10335,1.93402,1.37293,0.46358,0.546,0.47738,0.21706,1.82252,1.51409,1.23554,0.0098416,0.0098416,0.0098416
6,120.511,1.96961,1.74591,1.32309,0.56079,0.58973,0.54865,0.23543,1.90068,1.37127,1.27033,0.009802,0.009802,0.009802
7,139.6,1.96016,1.69862,1.32914,0.63307,0.62992,0.63333,0.28105,1.73879,1.30714,1.18648,0.0097624,0.0097624,0.0097624
8,158.525,1.96321,1.66687,1.31699,0.64654,0.46785,0.46712,0.2209,1.8387,1.50937,1.23921,0.0097228,0.0097228,0.0097228
9,177.451,1.93711,1.62544,1.29371,0.53995,0.59647,0.60352,0.28998,1.70912,1.29249,1.19586,0.0096832,0.0096832,0.0096832
10,196.671,1.8579,1.51631,1.2674,0.6301,0.67291,0.64053,0.30113,1.71177,1.23987,1.15982,0.0096436,0.0096436,0.0096436
11,215.658,1.87476,1.49932,1.25833,0.6073,0.68124,0.65362,0.33619,1.6906,1.23168,1.17729,0.009604,0.009604,0.009604
12,234.771,1.79814,1.43894,1.24172,0.67021,0.62836,0.64158,0.30939,1.70547,1.20385,1.15605,0.0095644,0.0095644,0.0095644
13,253.735,1.81264,1.42543,1.24217,0.63506,0.61466,0.63622,0.25993,1.81132,1.28366,1.21,0.0095248,0.0095248,0.0095248
14,274.639,1.76096,1.3799,1.25013,0.66379,0.72126,0.7245,0.36332,1.68123,1.04559,1.15413,0.0094852,0.0094852,0.0094852
15,294.027,1.74162,1.33657,1.2141,0.68362,0.71545,0.73804,0.36163,1.64373,1.10675,1.14104,0.0094456,0.0094456,0.0094456
16,313.24,1.74637,1.30418,1.20346,0.78992,0.6644,0.75488,0.36813,1.64862,1.09813,1.14233,0.009406,0.009406,0.009406
17,332.152,1.74006,1.33101,1.22143,0.72557,0.73102,0.76777,0.39705,1.60956,1.08811,1.12158,0.0093664,0.0093664,0.0093664
18,351.386,1.73165,1.31261,1.21993,0.71019,0.72765,0.70899,0.36288,1.63313,1.04731,1.13377,0.0093268,0.0093268,0.0093268
19,370.299,1.69429,1.26418,1.22507,0.66823,0.68262,0.70681,0.3604,1.60569,1.10263,1.15044,0.0092872,0.0092872,0.0092872
20,389.916,1.66977,1.22233,1.18318,0.68843,0.76972,0.73736,0.36479,1.64747,1.07229,1.14581,0.0092476,0.0092476,0.0092476
21,408.936,1.67014,1.24644,1.18976,0.74494,0.71878,0.76339,0.37189,1.65138,0.9883,1.15502,0.009208,0.009208,0.009208
22,428.264,1.65305,1.21855,1.18291,0.73255,0.77097,0.75178,0.35409,1.68013,1.09637,1.1424,0.0091684,0.0091684,0.0091684
23,447.375,1.64735,1.16438,1.1716,0.76955,0.76119,0.80991,0.4093,1.57316,0.90166,1.12444,0.0091288,0.0091288,0.0091288
24,466.558,1.62415,1.16542,1.16519,0.78335,0.69876,0.77868,0.40047,1.59561,0.97136,1.11449,0.0090892,0.0090892,0.0090892
25,485.463,1.60235,1.12917,1.15629,0.7666,0.73187,0.77679,0.39658,1.61844,1.01454,1.12828,0.0090496,0.0090496,0.0090496
26,504.513,1.58578,1.11217,1.15521,0.76123,0.74306,0.77596,0.38546,1.60552,0.94906,1.1181,0.00901,0.00901,0.00901
27,525.026,1.61804,1.12894,1.14765,0.83949,0.6807,0.79587,0.4081,1.57258,0.95572,1.09692,0.0089704,0.0089704,0.0089704
28,543.747,1.58702,1.0944,1.15994,0.77103,0.76352,0.7911,0.40913,1.51369,0.93266,1.11356,0.0089308,0.0089308,0.0089308
29,563.942,1.58545,1.08098,1.15835,0.86018,0.69242,0.79382,0.4138,1.55742,0.9495,1.1012,0.0088912,0.0088912,0.0088912
30,585.186,1.55233,1.03665,1.13187,0.78491,0.78029,0.80978,0.42436,1.55865,0.89348,1.10518,0.0088516,0.0088516,0.0088516
31,605.079,1.55602,1.06542,1.15127,0.83657,0.76186,0.81435,0.40905,1.59332,0.98886,1.09258,0.008812,0.008812,0.008812
32,624.479,1.57139,1.07227,1.14131,0.77778,0.81782,0.81012,0.40092,1.55527,0.90283,1.08421,0.0087724,0.0087724,0.0087724
33,644.012,1.53404,1.03451,1.13456,0.77776,0.72093,0.79443,0.39422,1.62106,0.91105,1.11701,0.0087328,0.0087328,0.0087328
34,664.463,1.55683,1.07339,1.1344,0.81627,0.76695,0.80074,0.4391,1.51715,0.88153,1.08942,0.0086932,0.0086932,0.0086932
35,684.675,1.52743,1.01597,1.12863,0.72592,0.759,0.77505,0.4064,1.56018,0.91443,1.09825,0.0086536,0.0086536,0.0086536
36,704.394,1.54733,1.02359,1.12463,0.81337,0.73249,0.82532,0.45143,1.54601,0.84346,1.08176,0.008614,0.008614,0.008614
37,723.879,1.52791,1.0129,1.11711,0.82499,0.70815,0.78347,0.43368,1.54783,0.91928,1.0896,0.0085744,0.0085744,0.0085744
38,742.703,1.52067,0.99739,1.12507,0.80747,0.82559,0.82821,0.43124,1.56265,0.86131,1.08041,0.0085348,0.0085348,0.0085348
39,761.276,1.53095,1.01195,1.12066,0.82312,0.757,0.80996,0.43332,1.50328,0.87507,1.0634,0.0084952,0.0084952,0.0084952
40,779.991,1.46524,0.95011,1.09386,0.78923,0.81465,0.82754,0.44033,1.53993,0.8176,1.08178,0.0084556,0.0084556,0.0084556
41,798.742,1.47822,0.96482,1.0987,0.78731,0.77202,0.80669,0.4344,1.48682,0.87049,1.05536,0.008416,0.008416,0.008416
42,817.639,1.46551,0.94871,1.10087,0.82997,0.76127,0.80862,0.43549,1.46163,0.85799,1.05417,0.0083764,0.0083764,0.0083764
43,836.471,1.46296,0.95659,1.08958,0.73037,0.78183,0.80062,0.44131,1.52249,0.88985,1.07979,0.0083368,0.0083368,0.0083368
