epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1724.99,1.41385,0.90775,1.19969,0.81764,0.77159,0.82128,0.45646,1.5561,0.99446,1.27019,0.0083764,0.0083764,0.0083764
43,1765.67,1.39578,0.91611,1.19326,0.84338,0.7839,0.83117,0.44578,1.60491,0.98669,1.26581,0.0083368,0.0083368,0.0083368
44,1806.31,1.39039,0.89215,1.19307,0.71976,0.82581,0.80586,0.44058,1.54413,0.98306,1.24787,0.0082972,0.0082972,0.0082972
45,1846.98,1.36585,0.90058,1.18138,0.83291,0.79512,0.84926,0.4769,1.5911,0.92464,1.27843,0.0082576,0.0082576,0.0082576
46,1887.77,1.35602,0.86793,1.15878,0.7949,0.86881,0.86914,0.48289,1.53002,0.88289,1.24386,0.008218,0.008218,0.008218
47,1928.51,1.37434,0.85738,1.17636,0.82924,0.84995,0.85289,0.48631,1.54102,0.86457,1.24932,0.0081784,0.0081784,0.0081784
48,1969.15,1.35039,0.85608,1.1548,0.80438,0.8117,0.84018,0.46161,1.51653,0.91098,1.22538,0.0081388,0.0081388,0.0081388
49,2009.62,1.3528,0.85383,1.15571,0.86582,0.82626,0.87138,0.48786,1.48725,0.86238,1.23025,0.0080992,0.0080992,0.0080992
50,2050.34,1.30894,0.81908,1.15184,0.85909,0.85817,0.87506,0.47144,1.5488,0.87815,1.26447,0.0080596,0.0080596,0.0080596
51,2090.97,1.33847,0.85047,1.15126,0.8553,0.75737,0.85357,0.48885,1.53233,0.903,1.24608,0.00802,0.00802,0.00802
52,2132,1.30952,0.82292,1.14653,0.84299,0.84567,0.88679,0.49869,1.50943,0.86474,1.23103,0.0079804,0.0079804,0.0079804
53,2172.82,1.3068,0.8214,1.13585,0.85545,0.8349,0.86043,0.47989,1.55084,0.90712,1.24006,0.0079408,0.0079408,0.0079408
54,2213.7,1.32063,0.83439,1.14169,0.88188,0.7952,0.87501,0.48417,1.57798,0.8794,1.28038,0.0079012,0.0079012,0.0079012
55,2254.3,1.31051,0.81911,1.14019,0.86292,0.8576,0.8729,0.50055,1.54339,0.81045,1.24481,0.0078616,0.0078616,0.0078616
56,2295.19,1.2907,0.78969,1.12655,0.8339,0.84228,0.87018,0.49409,1.58739,0.83806,1.2725,0.007822,0.007822,0.007822
57,2335.82,1.29299,0.82819,1.12594,0.79687,0.83837,0.85569,0.46573,1.5763,0.88883,1.26867,0.0077824,0.0077824,0.0077824
58,2376.47,1.30128,0.83327,1.15197,0.82251,0.81881,0.84359,0.46082,1.59004,0.88269,1.30998,0.0077428,0.0077428,0.0077428
59,2417.06,1.28152,0.79951,1.1234,0.87842,0.87267,0.88542,0.49026,1.57166,0.83885,1.26311,0.0077032,0.0077032,0.0077032
60,2457.78,1.27698,0.80366,1.10695,0.84999,0.79247,0.85407,0.46862,1.57469,0.83718,1.26165,0.0076636,0.0076636,0.0076636
61,2498.56,1.2662,0.79578,1.12039,0.84477,0.8536,0.89347,0.4856,1.57572,0.79888,1.26087,0.007624,0.007624,0.007624
62,2539.79,1.25477,0.78453,1.11526,0.83707,0.86082,0.87887,0.49174,1.55224,0.86704,1.2493,0.0075844,0.0075844,0.0075844
63,2580.99,1.27309,0.77625,1.12177,0.81766,0.84308,0.87545,0.48741,1.56445,0.81962,1.26254,0.0075448,0.0075448,0.0075448
64,2622.33,1.23664,0.76206,1.10651,0.86963,0.88337,0.88713,0.50095,1.54896,0.80959,1.25192,0.0075052,0.0075052,0.0075052
65,2663.4,1.2586,0.77534,1.10752,0.84436,0.82642,0.87778,0.496,1.54585,0.79396,1.24285,0.0074656,0.0074656,0.0074656
66,2704.43,1.26513,0.76731,1.10791,0.84225,0.86507,0.88274,0.49906,1.51757,0.80484,1.24869,0.007426,0.007426,0.007426
