epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8783,2.04919,9.22789,1.72353,0.31065,0.42243,0.3688,0.17801,1.68793,1.9046,1.43834,0.0033156,0.0033156,0.0033156
2,184.875,1.80896,2.10405,1.48509,0.51905,0.62766,0.56935,0.30052,1.69291,1.48422,1.35332,0.00662261,0.00662261,0.00662261
3,275.972,1.84853,1.93054,1.48667,0.4569,0.62462,0.57063,0.29081,1.62196,1.54636,1.34325,0.00990321,0.00990321,0.00990321
4,366.907,1.91532,2.00156,1.53259,0.47503,0.63733,0.54114,0.24383,1.84337,1.48323,1.50713,0.0098812,0.0098812,0.0098812
5,457.817,1.90994,1.91347,1.55491,0.5051,0.74153,0.57872,0.27291,1.7229,1.49267,1.38739,0.0098416,0.0098416,0.0098416
6,548.746,1.83235,1.77229,1.51728,0.50609,0.63216,0.62816,0.29328,1.71692,1.36752,1.40376,0.009802,0.009802,0.009802
7,639.797,1.83548,1.68943,1.51807,0.59161,0.67745,0.69835,0.35645,1.67601,1.24077,1.34225,0.0097624,0.0097624,0.0097624
8,730.732,1.80992,1.63743,1.51236,0.49912,0.72272,0.70658,0.35151,1.69091,1.2741,1.41539,0.0097228,0.0097228,0.0097228
9,821.612,1.77951,1.55675,1.48572,0.78011,0.62025,0.7747,0.39509,1.64747,1.15322,1.3311,0.0096832,0.0096832,0.0096832
10,912.552,1.72578,1.47957,1.4579,0.61669,0.69153,0.6918,0.36231,1.64931,1.19684,1.36509,0.0096436,0.0096436,0.0096436
11,1003.75,1.716,1.40807,1.44171,0.72346,0.78297,0.81019,0.41476,1.63948,1.13695,1.3695,0.009604,0.009604,0.009604
12,1095.06,1.70937,1.41119,1.4594,0.68409,0.68249,0.74901,0.37549,1.60735,1.17161,1.34665,0.0095644,0.0095644,0.0095644
13,1186.11,1.70608,1.40817,1.46254,0.70729,0.78642,0.78921,0.38126,1.64793,1.1478,1.36647,0.0095248,0.0095248,0.0095248
14,1277.29,1.6794,1.36413,1.46098,0.67635,0.8045,0.78691,0.42568,1.60825,1.13582,1.38018,0.0094852,0.0094852,0.0094852
